start_date,end_date_NDX,years_NDX,num_investments_NDX,total_invested_NDX,final_value_NDX,total_return_NDX,total_return_pct_NDX,cagr_NDX,avg_purchase_price_NDX,final_price_NDX,end_date_3x,years_3x,num_investments_3x,total_invested_3x,final_value_3x,total_return_3x,total_return_pct_3x,cagr_3x,avg_purchase_price_3x,final_price_3x,Outperformance_Ratio,CAGR_Diff,3x_Outperformed
1986-05-02,2006-05-02,20.0,241,241000,968510.5708439538,727510.5708439538,301.8716061593169,7.202364916939619,420.5149176528252,1689.9300537109375,2006-05-02,20.0,241,241000,535074.8578925164,294074.8578925164,122.02276261100266,4.06863904220629,7.1511264853692635,15.877128580623937,0.5524718820841116,-3.1337258747333285,False
1986-06-02,2006-06-02,20.0,241,241000,914958.994025402,673958.994025402,279.651034865312,6.897913731360705,424.83751558487586,1612.9000244140625,2006-06-02,20.0,241,241000,456506.08883403457,215506.08883403457,89.42161362408073,3.2455819623683935,7.219717674749333,13.675705718613147,0.49893611824680373,-3.652331768992312,False
1986-07-02,2006-07-02,20.0,240,240000,883867.8518051755,643867.8518051755,268.2782715854898,6.735479341095463,427.7281887109884,1575.22998046875,2006-07-02,20.0,240,240000,415877.7944624425,175877.7944624425,73.28241435935105,2.78688967159495,7.264962766235956,12.588902883641563,0.47052033130639465,-3.948589669500513,False
1986-08-02,2006-08-02,20.0,241,241000,834719.7565791048,593719.7565791048,246.35674546850822,6.408466030314908,433.21806204151954,1500.47998046875,2006-08-02,20.0,241,241000,353697.91971257597,112697.91971257597,46.76262228737592,1.9367476700717923,7.331695879457264,10.76018913082697,0.42373253648879783,-4.471718360243115,False
1986-09-02,2006-09-02,20.0,240,240000,873072.831672821,633072.831672821,263.78034653034206,6.669918093041627,436.93123772714614,1589.469970703125,2006-09-02,20.0,240,240000,411277.11487677327,171277.11487677327,71.36546453198886,2.7297343641582428,7.418212025747045,12.712253497889286,0.47106850649419474,-3.940183728883384,False
1986-10-02,2006-10-02,20.0,241,241000,887963.5642798612,646963.5642798612,268.44961173438224,6.737961707560736,443.156949170801,1632.81005859375,2006-10-02,20.0,241,241000,438834.0036290694,197834.00362906943,82.08879818633586,3.041971982247671,7.519596361279461,13.692342642717213,0.49420271425772294,-3.6959897253130647,False
1986-11-02,2006-11-02,20.0,241,241000,918661.0766907684,677661.0766907684,281.1871687513562,6.91949865021777,448.64312971164986,1710.1700439453125,2006-11-02,20.0,241,241000,492900.23980924056,251900.23980924056,104.52292108267243,3.6423136470001616,7.642546720514552,15.630759797904348,0.5365419873722987,-3.2771850032176086,False
1986-12-02,2006-12-02,20.0,240,240000,941292.3154384329,701292.3154384329,292.20513143268033,7.071938026087676,452.59989042797014,1775.1199951171875,2006-12-02,20.0,240,240000,539779.7008283839,299779.7008283839,124.90820867849331,4.135849773656108,7.734817474382358,17.39623942618444,0.5734453495213829,-2.936088252431568,False
1987-01-02,2007-01-02,20.0,240,240000,920804.9429108829,680804.9429108829,283.66872621286785,6.954194186947804,457.92109295853726,1756.9000244140625,2007-01-02,20.0,240,240000,514656.32864259783,274656.32864259783,114.44013693441578,3.8879804481646962,7.839088625410477,16.810152382740437,0.5589200325268098,-3.066213738783108,False
1987-02-02,2007-02-02,20.0,241,241000,931849.2681450184,690849.2681450184,286.6594473630782,6.99572634046659,465.0423045772228,1798.1300048828125,2007-02-02,20.0,241,241000,540964.9246283288,299964.92462832876,124.46677370470074,4.125620685494158,7.9801935349765625,17.912882963353,0.5805283570219444,-2.8701056549724324,False
