start_date,end_date_NDX,years_NDX,num_investments_NDX,total_invested_NDX,final_value_NDX,total_return_NDX,total_return_pct_NDX,cagr_NDX,avg_purchase_price_NDX,final_price_NDX,end_date_3x,years_3x,num_investments_3x,total_invested_3x,final_value_3x,total_return_3x,total_return_pct_3x,cagr_3x,avg_purchase_price_3x,final_price_3x,Outperformance_Ratio,CAGR_Diff,3x_Outperformed
1999-08-02,2014-08-02,15.000684462696784,180,180000,388154.02386982663,208154.02386982663,115.6411243721259,5.256217068645919,1799.1326715492178,3879.669921875,2014-08-02,15.000684462696784,180,180000,691327.8610445965,511327.86104459653,284.07103391366473,9.3853076401611,11.911772877647886,45.749669248629736,1.781065810299171,4.1290905715151816,True
1999-09-02,2014-09-02,15.000684462696784,181,181000,410017.8523186108,229017.85231861082,126.52920017602807,5.602418828480049,1808.071566672657,4095.81005859375,2014-09-02,15.000684462696784,181,181000,813521.4897124997,632521.4897124997,349.4593865814915,10.537773236944425,11.947371176361106,53.698581201886554,1.9841123626986368,4.9353544084643755,True
1999-10-02,2014-10-02,15.000684462696784,181,181000,398346.21660198015,217346.21660198015,120.08078265302771,5.399309575825217,1811.0941215033274,3985.8701171875,2014-10-02,15.000684462696784,181,181000,746594.4752861413,565594.4752861413,312.48313551720514,9.906963095735044,11.932272566741583,49.21861202175497,1.874235135593428,4.507653519909827,True
1999-11-02,2014-11-02,15.000684462696784,180,180000,413884.8848161395,233884.88481613953,129.93604712007752,5.707557348198944,1808.4202164117373,4158.2099609375,2014-11-02,15.000684462696784,180,180000,837255.0137492035,657255.0137492035,365.14167430511304,10.790788360074766,11.867189820407827,55.199245423610904,2.022917590047141,5.083231011875822,True
1999-12-02,2014-12-02,15.000684462696784,181,181000,428984.7502735109,247984.75027351087,137.0081493223817,5.921245433761069,1816.7982718098333,4305.9599609375,2014-12-02,15.000684462696784,181,181000,929751.4596889772,748751.4596889772,413.6748396071697,11.52623925996885,11.90689121271307,61.162704339104046,2.167329862183187,5.604993826207782,True
2000-01-02,2015-01-02,15.000684462696784,181,181000,421080.2357840856,240080.23578408558,132.64101424535116,5.790004777054536,1818.355309401138,4230.240234375,2015-01-02,15.000684462696784,181,181000,876466.0529877881,695466.0529877881,384.23538839104316,11.088307765704153,11.893747247306337,57.59373317724284,2.0814704146722467,5.298302988649617,True
2000-02-02,2015-02-02,15.000684462696784,181,181000,416829.326547382,235829.326547382,130.2924456062884,5.718471998171815,1818.8133929980836,4188.58984375,2015-02-02,15.000684462696784,181,181000,843907.6130326444,662907.6130326444,366.24730001803556,10.808324507281487,11.879900870189744,55.389717052078794,2.0245879051331945,5.089852509109672,True
2000-03-02,2015-03-02,14.99794661190965,181,181000,445928.95887193305,264928.95887193305,146.3695905369796,6.1962988423854615,1819.6441350234754,4483.0498046875,2015-03-02,14.99794661190965,181,181000,1032224.2537127574,851224.2537127574,470.28964293522506,12.308665506691607,11.868674587147854,67.6858219241893,2.3147728649962005,6.112366664306146,True
2000-04-02,2015-04-02,14.99794661190965,181,181000,429294.17958167405,248294.17958167405,137.1791047412564,5.927450220991748,1819.7259705206432,4316.009765625,2015-04-02,14.99794661190965,181,181000,916034.9438198474,735034.9438198474,406.0966540441146,11.417991571578723,11.85591682181891,60.002398341478845,2.133816360409261,5.490541350586975,True
2000-05-02,2015-05-02,14.99794661190965,180,180000,444413.4514118926,264413.4514118926,146.8963618954959,6.21142329539035,1814.1458319623223,4479.06005859375,2015-05-02,14.99794661190965,180,180000,1018562.1299198576,838562.1299198576,465.86784995547646,12.250393385399395,11.79065453385523,66.7195233064045,2.291924618131846,6.038970090009045,True
2000-06-02,2015-06-02,14.99794661190965,181,181000,448136.02226352325,267136.02226352325,147.58896257653217,6.231263208760374,1821.1192008710839,4508.89013671875,2015-06-02,14.99794661190965,181,181000,1036178.9624909875,855178.9624909875,472.4745649121478,12.337303768673547,11.833529152788381,67.74394453117746,2.3121974378611094,6.106040559913173,True
2000-07-02,2015-07-02,14.99794661190965,181,181000,440451.66772089276,259451.66772089276,143.34346282922252,6.10882468921965,1821.8653113480536,4433.39013671875,2015-07-02,14.99794661190965,181,181000,980913.9866473675,799913.9866473675,441.94142908694334,11.92751350183736,11.821877503819964,64.06765188910978,2.227063849532197,5.818688812617711,True
2000-08-02,2015-08-02,14.99794661190965,180,180000,454696.2929401694,274696.2929401694,152.60905163342744,6.373537109391392,1816.605591358293,4588.91015625,2015-08-02,14.99794661190965,180,180000,1081266.8072696724,901266.8072696724,500.70378181648465,12.698412430699136,11.756971943282887,70.62457509040335,2.3779978505607686,6.324875321307744,True
2000-09-02,2015-09-02,14.99794661190965,181,181000,422442.1615324777,241442.1615324777,133.3934594102087,5.8138716331286755,1823.6286446176998,4256.22998046875,2015-09-02,14.99794661190965,181,181000,838065.4108150926,657065.4108150926,363.019563986239,10.759086362435056,11.797771066724547,54.62598815324266,1.9838583529988434,4.945214729306381,True
