start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1999-03-11,2019-03-11,20.0,241,241000,885861.6529009569,644861.6529009569,267.5774493364966,6.725314432783347,45.49379045222553,167.22491455078125
1999-06-11,2019-06-11,20.0,241,241000,922884.1335360168,681884.1335360168,282.93947449627257,6.944020431502929,45.918984762962616,175.8419189453125
1999-09-11,2019-09-11,20.0,241,241000,961687.8399156844,720687.8399156844,299.0405974753877,7.164478310070477,46.338086161850015,184.90777587890625
1999-12-11,2019-12-11,20.0,241,241000,1018925.4559035291,777925.4559035291,322.7906456031241,7.474706674276965,46.68133889880627,197.3643341064453
2000-03-11,2020-03-11,20.0,241,241000,967717.776044656,726717.776044656,301.542645661683,7.197975571936599,46.91269993241878,188.37449645996097
2000-06-11,2020-06-11,20.0,241,241000,1157398.2279905854,916398.2279905854,380.24822738198566,8.161646199565343,47.12045836155302,226.295166015625
2000-09-11,2020-09-11,20.0,241,241000,1332873.904421291,1091873.904421291,453.059711378129,8.927767092716898,47.368740047866645,261.9774169921875
2000-12-11,2020-12-11,20.0,241,241000,1477651.457103701,1236651.457103701,513.1333846903324,9.490830055754863,47.68844359343155,292.3937683105469
2001-03-11,2021-03-11,20.0,241,241000,1545476.2048671048,1304476.2048671048,541.2764335548153,9.736792998024836,48.12822725094969,308.6349792480469
2001-06-11,2021-06-11,20.0,241,241000,1635897.0514348946,1394897.0514348946,578.7954570269272,10.04921432838981,48.846394701363465,331.5671081542969
2001-09-11,2021-09-11,20.0,240,240000,1778975.2096427178,1538975.2096427178,641.2396706844658,10.534520783462863,49.42254476455101,366.3395080566406
2001-12-11,2021-12-11,20.0,240,240000,1845424.2345410278,1605424.2345410278,668.9267643920949,10.737381229225274,50.40867640363595,387.6058044433594
2002-03-11,2022-03-11,20.0,241,241000,1481170.565036153,1240170.565036153,514.5935954506859,9.503853250186655,51.46871487669937,316.32342529296875
2002-06-11,2022-06-11,20.0,240,240000,1292638.9364087575,1052638.9364087575,438.5995568369823,8.78356810478953,52.35745289755143,281.99700927734375
2002-09-11,2022-09-11,20.0,240,240000,1337590.8021031872,1097590.8021031872,457.329500876328,8.969661444535149,53.89827574865709,300.3909912109375
2002-12-11,2022-12-11,20.0,240,240000,1191508.8964640144,951508.8964640144,396.4620401933393,8.341364848529675,55.67056226914801,276.3832092285156
2003-03-11,2023-03-11,20.0,240,240000,1185529.779847693,945529.7798476929,393.9707416032054,8.314116425392282,57.379830691063994,283.4395751953125
2003-06-11,2023-06-11,20.0,240,240000,1414322.4482095423,1174322.4482095423,489.30102008730927,9.274004736813858,59.18209357599148,348.76068115234375
2003-09-11,2023-09-11,20.0,241,241000,1467452.9304643085,1226452.9304643085,508.90163089805327,9.452921168860119,60.99106842657494,371.3756103515625
2003-12-11,2023-12-11,20.0,241,241000,1504985.2738191863,1263985.2738191863,524.4752173523594,9.591219683555208,62.48675913923321,390.2143249511719
2004-03-11,2024-03-11,20.0,241,241000,1630087.389158495,1389087.389158495,576.3848087794586,10.029640059334755,63.959458422421804,432.612060546875
2004-06-11,2024-06-11,20.0,241,241000,1703575.0156306275,1462575.0156306275,606.8775998467335,10.272497550989822,65.57281796283817,463.5195617675781
2004-09-11,2024-09-11,20.0,241,241000,1664148.4771478428,1423148.4771478428,590.5180403103083,10.143469222549184,67.31924067558707,464.85150146484375
2004-12-11,2024-12-11,20.0,241,241000,1836378.6486417814,1595378.6486417814,661.9828417600753,10.687163847944525,69.08254712741483,526.3971557617188
2005-03-11,2025-03-11,20.0,241,241000,1596985.2491710575,1355985.2491710575,562.6494809838413,9.91682955927844,70.80972970805455,469.2203063964844
2005-06-11,2025-06-11,20.0,241,241000,1757737.165478039,1516737.165478039,629.3515209452444,10.445199661941507,72.73767880975554,530.5133666992188
2005-09-11,2025-09-11,20.0,241,241000,1880253.0631274793,1639253.0631274793,680.1879929989541,10.817912017377829,74.68110511379017,582.6530151367188
2005-12-11,2025-12-11,20.0,241,241000,1963550.8101528361,1722550.8101528361,714.7513735074009,11.05835977265317,76.68291282034194,624.7750854492188
