start_date,end_date_QQQ,years_QQQ,num_investments_QQQ,total_invested_QQQ,final_value_QQQ,total_return_QQQ,total_return_pct_QQQ,xirr_QQQ,simple_cagr_QQQ,cagr_QQQ,avg_purchase_price_QQQ,final_price_QQQ,end_date_TQQQ,years_TQQQ,num_investments_TQQQ,total_invested_TQQQ,final_value_TQQQ,total_return_TQQQ,total_return_pct_TQQQ,xirr_TQQQ,simple_cagr_TQQQ,cagr_TQQQ,avg_purchase_price_TQQQ,final_price_TQQQ,TQQQ_vs_QQQ_value_ratio,TQQQ_vs_QQQ_cagr_diff,TQQQ_outperformed,TQQQ_vs_QQQ_xirr_diff
1999-03-11,2009-03-11,10.001368925393566,121,121000,83646.08383081555,-37353.91616918445,-30.871005098499545,-7.612519138706977,-3.6241505575236976,-7.612519138706977,40.14234553755632,27.75,2009-03-11,10.001368925393566,121,121000,17525.952431603295,-103474.04756839672,-85.5157417920634,-50.65200481094845,-17.566998962210967,-50.65200481094845,0.0126149576880437,0.0018271830443582,0.20952508030204595,-43.03948567224147,False,-43.03948567224147
1999-06-11,2009-06-11,10.001368925393566,121,121000,112117.66365123497,-8882.33634876505,-7.340773841954586,-1.533716067873521,-0.7594139892184937,-1.533716067873521,39.73700323378668,36.81999969482422,2009-06-11,10.001368925393566,121,121000,41721.3396015646,-79278.6603984354,-65.51955404829371,-23.841419553508413,-10.099187492263397,-23.841419553508413,0.0115387794739093,0.0039786226199878,0.37212102217316445,-22.307703485634892,False,-22.307703485634892
1999-09-11,2009-09-11,10.001368925393566,121,121000,127411.49305669122,6411.493056691223,5.298754592306795,1.0289918503027538,0.5175782208022728,1.0289918503027538,39.43066622062133,41.52000045776367,2009-09-11,10.001368925393566,121,121000,61242.92853363234,-59757.07146636766,-49.38600947633691,-14.489025671323608,-6.5818837305295474,-14.489025671323608,0.0108410146435931,0.0054870701243771,0.48067036233836885,-15.518017521626362,False,-15.518017521626362
1999-12-11,2009-12-11,10.001368925393566,121,121000,136453.1433386365,15453.143338636495,12.771192841848343,2.385136904135177,1.2089928112873904,2.385136904135177,39.132335090224394,44.130001068115234,2009-12-11,10.001368925393566,121,121000,74453.63964078546,-46546.36035921454,-38.468066412574,-10.11963125799637,-4.739481085340258,-10.11963125799637,0.0103913146871075,0.0063939768521314,0.5456352108797777,-12.504768162131546,False,-12.504768162131546
2000-03-11,2010-03-11,9.998631074606434,121,121000,147918.44527500408,26918.44527500408,22.246648987606676,3.969341065134497,2.0292961515075536,3.969341065134497,38.73316681173111,47.349998474121094,2010-03-11,9.998631074606434,121,121000,92831.2041271684,-28168.7958728316,-23.279996589117022,-5.414693891232788,-2.615624045337128,-5.414693891232788,0.0100213060334461,0.0076883463306749,0.6275836928557512,-9.384034956367284,False,-9.384034956367284
2000-06-11,2010-06-11,9.998631074606434,121,121000,143608.67962686782,22608.679626867815,18.684859195758523,3.3897778208096203,1.728010355777121,3.3897778208096203,38.33681929466033,45.5,2010-06-11,9.998631074606434,121,121000,80850.29133696367,-40149.708663036334,-33.18157740746804,-8.337752456705337,-3.9522436044439617,-8.337752456705337,0.0096991019118965,0.0064807869031714,0.5629902840624499,-11.727530277514957,False,-11.727530277514957
2000-09-11,2010-09-11,9.998631074606434,120,120000,147632.54406410016,27632.54406410016,23.0271200534168,4.062513402877625,2.094258202984567,4.062513402877625,37.877826006077335,46.599998474121094,2010-09-11,9.998631074606434,120,120000,85815.14689854698,-34184.853101453016,-28.487377584544184,-6.821981417769915,-3.2978173126308907,-6.821981417769915,0.0093763736301845,0.0067052906704162,0.581275269911268,-10.88449482064754,False,-10.88449482064754
2000-12-11,2010-12-11,9.998631074606434,120,120000,173845.09439657978,53845.09439657978,44.87091199714982,7.207109214905123,3.7768115912530265,7.207109214905123,37.61279674938392,54.4900016784668,2010-12-11,9.998631074606434,120,120000,138084.40667784633,18084.40667784633,15.070338898205277,2.7626117203830955,1.4138274918436666,2.7626117203830955,0.009116775766242,0.0104907047708042,0.7942956754525654,-4.444497494522027,False,-4.444497494522027
2001-03-11,2011-03-11,9.998631074606434,121,121000,181577.50009017385,60577.50009017385,50.0640496613007,7.932925421158796,4.142998946533205,7.932925421158796,37.64392724704319,56.4900016784668,2011-03-11,9.998631074606434,121,121000,154733.37922697197,33733.37922697197,27.878825807414852,4.847232399140782,2.4899606015998943,4.847232399140782,0.0089601446548517,0.0114581277752702,0.8521616342891012,-3.085693022018014,False,-3.085693022018014
2001-06-11,2011-06-11,9.998631074606434,120,120000,173699.5469069271,53699.546906927135,44.74962242243928,7.19330767661991,3.7681186702538394,7.19330767661991,37.747939148460304,54.63999938964844,2011-06-11,9.998631074606434,120,120000,138418.40355420695,18418.403554206947,15.34866962850579,2.8106558268201542,1.4383340409441558,2.8106558268201542,0.0087992521388488,0.01014982027942,0.7968840795444058,-4.382651849799756,False,-4.382651849799756
2001-09-11,2011-09-11,9.998631074606434,120,120000,168204.730237984,48204.73023798401,40.17060853165334,6.579311500503791,3.4350440589675513,6.579311500503791,37.93948022503353,53.18000030517578,2011-09-11,9.998631074606434,120,120000,119355.52269151554,-644.4773084844637,-0.5370644237370531,-0.1069883194906715,-0.0538440516455351,-0.1069883194906715,0.0086383585285,0.0085919649780486,0.7095848168041748,-6.6862998199944625,False,-6.6862998199944625
2001-12-11,2011-12-11,9.998631074606434,120,120000,178435.82415406947,58435.82415406947,48.69652012839123,7.70884472546635,4.047689226396356,7.70884472546635,38.34656010008173,57.02000045776367,2011-12-11,9.998631074606434,120,120000,140518.51694877856,20518.51694877856,17.098764123982132,3.1052581722014834,1.5912185843525828,3.1052581722014834,0.0085088336935402,0.0099637390965006,0.7875017116935475,-4.603586553264867,False,-4.603586553264867
2002-03-11,2012-03-11,10.001368925393566,120,120000,201829.36203838827,81829.36203838827,68.19113503199023,10.049417361969835,5.336096273634028,10.049417361969835,38.65839696646289,65.0199966430664,2012-03-11,10.001368925393566,120,120000,207424.69607383964,87424.69607383964,72.85391339486637,10.566085227254456,5.624500561911039,10.566085227254456,0.0083893238801601,0.0145012746342268,1.0277230923139278,0.5166678652846208,True,0.5166678652846208
2002-06-11,2012-06-11,10.001368925393566,121,121000,190221.95177928676,69221.95177928676,57.208224610980785,8.815356607304494,4.6272563878434925,8.815356607304494,39.317282239044935,61.810001373291016,2012-06-11,10.001368925393566,121,121000,174964.94953218987,53964.94953218987,44.59913184478502,7.215815650626975,3.756276133784775,7.215815650626975,0.0083699287704708,0.0121028443381277,0.9197936825671966,-1.5995409566775196,False,-1.5995409566775196
2002-09-11,2012-09-11,10.001368925393566,121,121000,205526.44017176112,84526.44017176112,69.85656212542241,10.28346181597929,5.439923887830633,10.28346181597929,40.286933544932424,68.43000030517578,2012-09-11,10.001368925393566,121,121000,228495.08406574075,107495.08406574075,88.83891245102542,12.285230383900362,6.562737865789647,12.285230383900362,0.0084797092112395,0.0160129906535142,1.1117551779458859,2.001768567921072,True,2.001768567921072
2002-12-11,2012-12-11,10.001368925393566,121,121000,192671.19376553505,71671.19376553505,59.23239154176451,9.057702565004746,4.761178784232567,9.057702565004746,41.43001344258532,65.97000122070312,2012-12-11,10.001368925393566,121,121000,195337.2735987932,74337.27359879322,61.43576330478779,9.319332835003015,4.9052270772392825,9.319332835003015,0.0087009642368438,0.0140464680306255,1.0138374594621682,0.2616302699982693,True,0.2616302699982693
2003-03-11,2013-03-11,10.001368925393566,121,121000,196374.8918072749,75374.8918072749,62.29329901427677,9.426153805978505,4.960811646923524,9.426153805978505,42.49713428687891,68.97000122070312,2013-03-11,10.001368925393566,121,121000,213936.81600262935,92936.81600262938,76.80728595258626,11.051556715755703,5.863592589996092,11.051556715755703,0.0088949075212685,0.0157268445763473,1.0894305989616533,1.6254029097771987,True,1.6254029097771987
2003-06-11,2013-06-11,10.001368925393566,121,121000,201574.96224199465,80574.96224199462,66.59087788594597,9.919946399046822,5.23545614460752,9.919946399046822,43.633843199489235,72.69000244140625,2013-06-11,10.001368925393566,121,121000,239322.52277596877,118322.52277596876,97.78720890575931,13.162404435161386,7.057171765325032,13.162404435161386,0.0091309154426051,0.0180597828014737,1.1872631407895662,3.2424580361145647,True,3.2424580361145647
2003-09-11,2013-09-11,10.001368925393566,121,121000,211948.6542340186,90948.6542340186,75.16417705290795,10.867967430110888,5.764810883167915,10.867967430110888,44.563905058633026,78.05999755859375,2013-09-11,10.001368925393566,121,121000,286835.7806978118,165835.7806978118,137.0543642130676,16.548095250362554,9.01334473715798,16.548095250362554,0.009256807087832,0.0219436651884905,1.3533267372441449,5.680127820251666,True,5.680127820251666
2003-12-11,2013-12-11,10.001368925393566,121,121000,227010.81597036603,106010.81597036603,87.61224460360829,12.166232648832924,6.493322708446048,12.166232648832924,45.402154046579504,85.18000030517578,2013-12-11,10.001368925393566,121,121000,362727.0368320352,241727.03683203517,199.77441060498776,20.915774096654992,11.6022446699938,20.915774096654992,0.0093464681024791,0.02801831966659,1.5978403288034768,8.749541447822068,True,8.749541447822068
2004-03-11,2014-03-11,9.998631074606434,121,121000,236197.39673128605,115197.39673128603,95.20446010850088,12.92137871430162,6.91852302452165,12.92137871430162,46.218206884492275,90.22000122070312,2014-03-11,9.998631074606434,121,121000,419333.5028661052,298333.5028661052,246.5566139389299,23.61815008821598,13.236075492085252,23.61815008821598,0.0094289604736821,0.0326766861472329,1.775351924573356,10.69677137391436,True,10.69677137391436
