start_date,end_date_QQQ,years_QQQ,num_investments_QQQ,total_invested_QQQ,final_value_QQQ,total_return_QQQ,total_return_pct_QQQ,cagr_QQQ,avg_purchase_price_QQQ,final_price_QQQ,end_date_TQQQ,years_TQQQ,num_investments_TQQQ,total_invested_TQQQ,final_value_TQQQ,total_return_TQQQ,total_return_pct_TQQQ,cagr_TQQQ,avg_purchase_price_TQQQ,final_price_TQQQ,TQQQ_outperformed,TQQQ_vs_QQQ_value_ratio,TQQQ_vs_QQQ_cagr_diff
1999-03-11,2019-03-11,20.0,241,241000,885861.6529009569,644861.6529009569,267.5774493364966,6.725314432783347,45.49379045222553,167.22491455078125,2019-03-11,20.0,241,241000,4021739.799130761,3780739.799130761,1568.7717008841332,15.111800343534787,0.02718865845081806,0.4537166380772942,True,4.539918604627092,8.38648591075144
1999-06-11,2019-06-11,20.0,241,241000,922884.1335360168,681884.1335360168,282.93947449627257,6.944020431502929,45.918984762962616,175.8419189453125,2019-06-11,20.0,241,241000,4567333.137872198,4326333.137872198,1795.1589783702066,15.846330647238883,0.02717886702014818,0.5150827385516372,True,4.948977853127162,8.902310215735955
1999-09-11,2019-09-11,20.0,241,241000,961687.8399156844,720687.8399156844,299.0405974753877,7.164478310070477,46.338086161850015,184.90777587890625,2019-09-11,20.0,241,241000,5161810.047471251,4920810.047471251,2041.8298952162868,16.557238317721755,0.02717068636238422,0.5819498832449999,True,5.3674485973783455,9.392760007651278
1999-12-11,2019-12-11,20.0,241,241000,1018925.4559035291,777925.4559035291,322.7906456031241,7.474706674276965,46.68133889880627,197.3643341064453,2019-12-11,20.0,241,241000,6196850.150280541,5955850.150280541,2471.3071162989795,17.627183315641393,0.027161470764210473,0.6984048306516107,True,6.081750254031589,10.152476641364427
2000-03-11,2020-03-11,20.0,241,241000,967717.776044656,726717.776044656,301.542645661683,7.197975571936599,46.91269993241878,188.37449645996097,2020-03-11,20.0,241,241000,4972009.653211264,4731009.653211264,1963.0745449009391,16.33911239179038,0.027151892787085775,0.5601637885491608,True,5.137871574017492,9.14113681985378
2000-06-11,2020-06-11,20.0,241,241000,1157398.2279905854,916398.2279905854,380.24822738198566,8.161646199565343,47.12045836155302,226.295166015625,2020-06-11,20.0,241,241000,6842731.68004825,6601731.68004825,2739.3077510573653,18.21174367149714,0.027140314782162795,0.770597061271316,True,5.9121670610540376,10.050097471931796
2000-09-11,2020-09-11,20.0,241,241000,1332873.904421291,1091873.904421291,453.059711378129,8.927767092716898,47.368740047866645,261.9774169921875,2020-09-11,20.0,241,241000,10077434.202337604,9836434.202337604,4081.5079677749395,20.522087827225466,0.027135449363407765,1.1346709772224297,True,7.560680848285523,11.594320734508567
2000-12-11,2020-12-11,20.0,241,241000,1477651.457103701,1236651.457103701,513.1333846903324,9.490830055754863,47.68844359343155,292.3937683105469,2020-12-11,20.0,241,241000,13337892.172985002,13096892.172985002,5434.395092524897,22.223160013887554,0.027135764585531467,1.5018004235407625,True,9.026412899242283,12.732329958132691
2001-03-11,2021-03-11,20.0,241,241000,1545476.2048671048,1304476.2048671048,541.2764335548153,9.736792998024836,48.12822725094969,308.6349792480469,2021-03-11,20.0,241,241000,15054615.21962179,14813615.21962179,6146.728306897008,22.96531619179629,0.027149766955465393,1.695972177663627,True,9.74108509222653,13.228523193771455
2001-06-11,2021-06-11,20.0,241,241000,1635897.0514348946,1394897.0514348946,578.7954570269272,10.04921432838981,48.846394701363465,331.5671081542969,2021-06-11,20.0,241,241000,18125006.191400573,17884006.191400573,7420.7494570126855,24.111794797225073,0.027226286637885917,2.0476208044835227,True,11.07955184313254,14.062580468835263
2001-09-11,2021-09-11,20.0,240,240000,1778975.2096427178,1538975.2096427178,641.2396706844658,10.534520783462863,49.42254476455101,366.3395080566406,2021-09-11,20.0,240,240000,24102505.768700194,23862505.768700194,9942.710736958414,25.9193716035802,0.027214839443941364,2.7331076028826926,True,13.54853380646088,15.384850820117336
