Date,Underlying_Growth,Leveraged_Growth,Naive_Expectation,Gap,Gap_Pct
2015-10-29,2.435630485356803,0.1575727827346949,14.448880647693285,-14.29130786495859,-98.90944643687779
2015-10-30,2.424719558225499,0.1554491996539052,14.255568678408624,-14.100119478754719,-98.90955455260548
2015-11-02,2.4521048745338594,0.16071037187948384,14.744061101645617,-14.583350729766133,-98.90999928193769
2015-11-03,2.4606632479764077,0.1623870546501329,14.898980381100188,-14.736593326450055,-98.91007941150036
2015-11-04,2.4608767804236136,0.16242320798774537,14.902859447238704,-14.74043623925096,-98.91012051369887
2015-11-05,2.4542449519952627,0.16110393968555295,14.782698493735303,-14.62159455404975,-98.910185851698
2015-11-06,2.4559560281591892,0.16143482671158685,14.813639124257392,-14.652204297545806,-98.91022843639254
2015-11-09,2.4298536669004878,0.15628146203324877,14.346314909142448,-14.1900334471092,-98.91065083247507
2015-11-10,2.423649607513118,0.15507848668921745,14.236705433481015,-14.081626946791797,-98.91071366606691
2015-11-11,2.420654344043036,0.15449767998122543,14.183987410127157,-14.029489730145931,-98.91075989061498
2015-11-12,2.3971191251401507,0.14998546664482204,13.774278214479855,-13.624292747835034,-98.91111923028276
2015-11-13,2.350050095627519,0.14114461903311257,12.978704977001533,-12.83756035796842,-98.91249073553006
2015-11-16,2.3838549401735216,0.14723028133187807,13.546885931068385,-13.399655649736507,-98.9131798844322
2015-11-17,2.3853516037070293,0.14750203920778587,13.572417512570786,-13.424915473362999,-98.91322206179429
2015-11-18,2.431138206279929,0.1559903424597686,14.369079428555294,-14.213089086095525,-98.91440267112887
2015-11-19,2.432849282443854,0.15631382779080255,14.39944039005193,-14.243126562261128,-98.91444512038959
2015-11-20,2.449324023694195,0.15948350764002384,14.693955714902481,-14.534472207262457,-98.9146319021618
2015-11-23,2.442262665858438,0.1580981309703664,14.567234509836144,-14.409136378865778,-98.91470044733876
2015-11-24,2.4401236446168886,0.15767676688053106,14.52899250368331,-14.37131573680278,-98.91474397250492
2015-11-25,2.4422626658584377,0.1580854827947668,14.567234509836137,-14.40914902704137,-98.91478727353483
2015-11-27,2.4456869306259983,0.1587444720303827,14.628594051884074,-14.46984957985369,-98.91483438895526
2015-11-30,2.439481815018774,0.1575302040182734,14.517530767082917,-14.360000563064643,-98.91489670973897
2015-12-01,2.463872924076907,0.16224945295328277,14.957358916735394,-14.795109463782111,-98.91525332876951
2015-12-02,2.4486814899495104,0.15924220531807629,14.682394705718956,-14.52315250040088,-98.91542075724166
2015-12-03,2.4071753943727034,0.1511385517663202,13.948361885442418,-13.797223333676097,-98.91644228184198
2015-12-04,2.463444274852714,0.16173166270118156,14.94955371111153,-14.787822048410348,-98.91815056270895
2015-12-07,2.4523185830177066,0.15953427197513037,14.747916408485645,-14.588382136510514,-98.91825890819847
2015-12-08,2.452532467538197,0.15957000021508277,14.751775563865758,-14.592205563650674,-98.91829970213249
2015-12-09,2.4153047665177745,0.1522975068588256,14.090156448675346,-13.93785894181652,-98.91912125026019
2015-12-10,2.426216749868933,0.15435593711495227,14.281992146389126,-14.127636209274174,-98.91922684501702
2015-12-11,2.3703754623932625,0.143692248115532,13.31838080651406,-13.174688558398529,-98.92109821604402
2015-12-14,2.3883472192503956,0.14695517684006576,13.623616034901438,-13.476660858061372,-98.92132032741094
2015-12-15,2.4028964717063928,0.14963528652539848,13.874111460134648,-13.724476173609249,-98.9214784171559
2015-12-16,2.438626100900169,0.15630460637523402,14.502258877587117,-14.345954271211884,-98.9222051013253
2015-12-17,2.403109652080314,0.14946939572162166,13.877804441557597,-13.728335045835975,-98.92296078712545
