start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1999-03-11,2009-03-11,10.001368925393566,121,121000,85016.42102811809,-35983.578971881914,-29.738495018084226,-3.4674357318799087,34.134850584876766,23.983659744262695
1999-06-11,2009-06-11,10.001368925393566,121,121000,114070.9940811934,-6929.005918806593,-5.726451172567432,-0.5878798296092169,33.81145186659341,31.875255584716797
1999-09-11,2009-09-11,10.001368925393566,121,121000,129713.60035640694,8713.60035640694,7.201322608600777,0.6977115680500967,33.570743694455736,35.98828125
1999-12-11,2009-12-11,10.001368925393566,121,121000,138978.70121457923,17978.701214579225,14.858430755850598,1.3947489775996136,33.33457273158993,38.287567138671875
2000-03-11,2010-03-11,9.998631074606434,121,121000,150830.89506545133,29830.895065451332,24.65363228549697,2.2284566105213788,33.011318019255185,41.14980697631836
2000-06-11,2010-06-11,9.998631074606434,121,121000,146519.66482373312,25519.664823733125,21.090632085729855,1.9323865496643888,32.68977818629126,39.584259033203125
2000-09-11,2010-09-11,9.998631074606434,120,120000,151142.42568239698,31142.425682396977,25.952021401997484,2.334456205011115,32.31226606567378,40.69795227050781
2000-12-11,2010-12-11,9.998631074606434,120,120000,178291.02786808854,58291.02786808854,48.57585655674045,4.0392417710384265,32.104877088260054,47.700096130371094
2001-03-11,2011-03-11,9.998631074606434,121,121000,186452.80491023205,65452.80491023205,54.093227198538884,4.419335718402451,32.15517220758667,49.54894256591797
2001-06-11,2011-06-11,9.998631074606434,120,120000,178516.84160090913,58516.84160090913,48.764034667424276,4.0524131153518494,32.261737361045846,47.99386215209961
2001-09-11,2011-09-11,9.998631074606434,120,120000,173126.71600433215,53126.71600433215,44.27226333694346,3.7338421667116872,32.44989129865893,46.816192626953125
2001-12-11,2011-12-11,9.998631074606434,120,120000,183839.71977413708,63839.71977413708,53.199766478447565,4.358624615382789,32.82628444100964,50.289791107177734
2002-03-11,2012-03-11,10.001368925393566,120,120000,208559.67622552975,88559.67622552975,73.79973018794146,5.6821461439816146,33.12143259226434,57.56496047973633
2002-06-11,2012-06-11,10.001368925393566,121,121000,196683.97227594472,75683.97227594472,62.548737418136135,4.9773178024062,33.7227654200935,54.8159294128418
2002-09-11,2012-09-11,10.001368925393566,121,121000,212752.63333283068,91752.63333283068,75.82862258911626,5.804856561100369,34.59410145891132,60.82633209228515
2002-12-11,2012-12-11,10.001368925393566,121,121000,199751.81454056528,78751.81454056528,65.08414424840106,5.139899236325385,35.62237929763121,58.80690002441406
2003-03-11,2013-03-11,10.001368925393566,121,121000,204444.3483867395,83444.3483867395,68.96227139399959,5.384285669002398,36.59015833061645,61.82356262207031
2003-06-11,2013-06-11,10.001368925393566,121,121000,210041.50334262964,89041.50334262964,73.58801929142945,5.669267371396125,37.62295194065757,65.3089370727539
2003-09-11,2013-09-11,10.001368925393566,121,121000,221245.76194197487,100245.76194197487,82.84773714212798,6.2197736654864055,38.47765120094414,70.35551452636719
2003-12-11,2013-12-11,10.001368925393566,121,121000,237362.2097048058,116362.2097048058,96.16711545851719,6.969167364048268,39.25395013064171,77.00334167480469
2004-03-11,2014-03-11,9.998631074606434,121,121000,248445.87262779495,127445.87262779495,105.32716746098755,7.460515437374782,40.013320886725445,82.15821838378906
2004-06-11,2014-06-11,9.998631074606434,121,121000,251112.17484288607,130112.17484288607,107.53072301064965,7.575303773356046,40.85326364951865,84.78307342529297
2004-09-11,2014-09-11,9.998631074606434,121,121000,264815.4291593224,143815.4291593224,118.8557265779524,8.148487150167183,41.81232817272813,91.50867462158205
