Date,Rolling_Variance,Rolling_Volatility,Expected_Drag,Naive_Growth,Actual_Growth,Performance_Gap_Pct
1999-03-11,,,,1.0,1.0,0.0
1999-03-12,,,,0.9286846577544625,0.9268811295951891,-0.19420242858693149
1999-03-15,,,,1.01100208152992,1.0066892043000315,-0.42659429774487556
1999-03-16,,,,1.0369873292268983,1.0323070833676526,-0.4513310555814498
1999-03-17,,,,1.0146883613865294,1.0099087981237962,-0.47103755641803025
1999-03-18,,,,1.074876191122015,1.0686281613496067,-0.5812790183664096
1999-03-19,,,,0.9945284925873209,0.9866298289632576,-0.7942118986972946
1999-03-22,,,,0.9585641527912424,0.950475000117726,-0.8438822430362758
1999-03-23,,,,0.8608409998240754,0.8500476299380949,-1.2538168939660421
1999-03-24,,,,0.951476746072131,0.9365456262098681,-1.569257464662288
1999-03-25,,,,1.0596119965673907,1.0391531929439357,-1.930782559062294
1999-03-26,,,,1.0257971821717806,1.005592944883817,-1.9696132568026714
1999-03-29,,,,1.1413849439133443,1.1148580995570263,-2.324092717165893
1999-03-30,,,,1.1176062887191893,1.0914268704294992,-2.3424544541255754
1999-03-31,,,,1.0691354382953722,1.04334898532749,-2.4118976926811087
1999-04-01,,,,1.1373991196270914,1.1085573076026638,-2.5357688015341218
1999-04-05,,,,1.2653462909753255,1.2288142382349432,-2.887118965056079
1999-04-06,,,,1.2728422608493202,1.236033138516843,-2.89188405073193
1999-04-07,,,,1.2335553254366496,1.1974363521161608,-2.9280383762036344
1999-04-08,,,,1.2632095190967307,1.2259494829134856,-2.9496323151434356
1999-04-09,,,,1.286841689923369,1.248696819826311,-2.9642239908569845
1999-04-12,,,,1.2610760787780948,1.2234791384989638,-2.9813379947354224
1999-04-13,,,,1.2105821390215907,1.1737756864415303,-3.0403928319814755
1999-04-14,,,,1.0902859983193818,1.0530007585957275,-3.4197669034663813
1999-04-15,,,,1.1354092608610644,1.095953455632955,-3.475029365022708
1999-04-16,,,,1.0388602291649358,0.999944308855642,-3.7460208040282272
1999-04-19,,,,0.8994321307281559,0.8592053827028306,-4.472460639443554
1999-04-20,,,,0.9621206303067217,0.9177179826920956,-4.615081125583043
1999-04-21,,,,1.111716231011641,1.0535588924332018,-5.231311458457089
1999-04-22,,,,1.2043674007762482,1.138991272869335,-5.42825452306136
1999-04-23,,,,1.2525651113602712,1.183934876439177,-5.479175038378836
1999-04-26,,,,1.3410846739443,1.2656625918442224,-5.623961228208795
1999-04-27,,,,1.2803680880836121,1.2074257730064806,-5.696980091585058
1999-04-28,,,,1.153399427222298,1.0834534944894132,-6.064328720999434
1999-04-29,,,,1.125494486735508,1.0569856753035831,-6.086996625868357
1999-04-30,,,,1.147382135834634,1.077369350876526,-6.101958778291328
1999-05-03,,,,1.1294541849078326,1.0604062943263297,-6.113385695864892
1999-05-04,,,,1.0767949794044895,1.0101374751677792,-6.190361722672089
1999-05-05,,,,1.1776813266669686,1.1019296798553309,-6.432270351609237
1999-05-06,,,,1.0539265912662135,0.9817828465407377,-6.8452343192897835
1999-05-07,,,,1.0999926449164166,1.0240480889335142,-6.9040967077259925
1999-05-10,,,,1.1334214372150946,1.0548202829343476,-6.934856859058202
1999-05-11,,,,1.1878983357261683,1.1046882719078093,-7.004813569967016
1999-05-12,,,,1.2632095190967316,1.1732523679664788,-7.121316754688278
1999-05-13,,,,1.1940560400458164,1.1077702421169229,-7.226277078719246
1999-05-14,,,,1.1274758943604004,1.0447745877052854,-7.335084241604129
1999-05-17,,,,1.1894361428034952,1.101129841453891,-7.424215405247958
1999-05-18,,,,1.1736078689639677,1.0863696987559506,-7.433332079225819
1999-05-19,,,,1.2230790021399072,1.1314937327136574,-7.48809106084003
1999-05-20,,,,1.1250019970318925,1.0381787377667386,-7.717609345958564
1999-05-21,,,,1.0941610459070241,1.009414722504347,-7.745324485795879
1999-05-24,,,,1.012844103430306,0.9324187967670676,-7.9405415296246895
1999-05-25,,,,0.9165635494067499,0.8407813130407135,-8.268083147653737
1999-05-26,,,,0.9954385383489881,0.9111215608142791,-8.470334861111084
1999-05-27,,,,0.992709277048638,0.9085868427096061,-8.474025203948033
1999-05-28,,,,1.042613877622027,0.9534835587117305,-8.548737056290022
1999-06-01,,,,0.974639249696507,0.8898818446789813,-8.696284809371079
1999-06-02,,,,1.0248687234830147,0.9349436388778061,-8.774302751634222
1999-06-03,,,,0.9818410750540042,0.8950936214496248,-8.835182781450456
1999-06-04,,,,1.074876191122017,0.977328950008063,-9.075207165220467
1999-06-07,,,,1.143382642494455,1.0383030870127854,-9.19023532248342
1999-06-08,,,,1.0596119965673922,0.9602546760441607,-9.376764404810356
1999-06-09,,,,1.1136766163380183,1.008403136772327,-9.452787103661265
1999-06-10,,,,1.0758354386987492,0.9737054114031314,-9.493090078827182
1999-06-11,,,,1.0276571259534293,0.9293964030326749,-9.561625219072079
1999-06-14,,,,0.9706040824352075,0.8767780709856162,-9.666764559055373
1999-06-15,,,,1.0146883613865314,0.9159796318394388,-9.727984798427281
1999-06-16,,,,1.1792108947182411,1.0570891200530035,-10.356228492479902
1999-06-17,,,,1.2189032697332205,1.0922390850198542,-10.391651893844623
1999-06-18,,,,1.2356573173963348,1.107142669597896,-10.400508780964701
1999-06-21,,,,1.3499925594760391,1.2065380637358556,-10.62631751065808
1999-06-22,,,,1.2314551119049026,1.0972898121960564,-10.89485913143109
1999-06-23,,,,1.290626371911584,1.1491504550845744,-10.961802726645475
1999-06-24,,,,1.2152590010833193,1.0806510497450321,-11.076482562012991
